title,employment_type,required_experience,industry,function,has_company_logo,Actual,Predicted,Result
Python Engineer,Full-time,Entry level,Apparel & Fashion,Information Technology,1,0,0,Correct
Entry Level Sales,Full-time,Entry level,Financial Services,Sales,0,0,0,Correct
Agile Project Manager,unknown,unknown,unknown,unknown,1,0,0,Correct
Marketing Coordinator,Full-time,unknown,unknown,Marketing,1,0,0,Correct
Full-stack Web Engineer,Full-time,Mid-Senior level,unknown,Engineering,1,0,0,Correct
BigData Consultant,unknown,unknown,unknown,unknown,1,0,0,Correct
Customer Care Agent (Night Shift with Spanish),Full-time,unknown,Telecommunications,Customer Service,1,0,0,Correct
English Teacher Abroad (Conversational),Contract,Entry level,Education Management,Education,1,0,0,Correct
Junior System Test Analyst,Full-time,Associate,Marketing and Advertising,Engineering,1,0,0,Correct
Head of Community,Full-time,Not Applicable,Venture Capital & Private Equity,Other,1,0,0,Correct
Managing Director,Full-time,Executive,Hospital & Health Care,unknown,1,0,0,Correct
UX Designer - 1871 General Companies,Full-time,Mid-Senior level,Information Technology and Services,Other,1,0,0,Correct
Welder,Full-time,unknown,Warehousing,Manufacturing,1,0,0,Correct
Marketing Intern - Start Somewhere Great,Full-time,Internship,Internet,Marketing,0,0,0,Correct
Videographer / Editor / Photographer,Full-time,Not Applicable,Apparel & Fashion,Art/Creative,1,0,0,Correct
Market Intelligence Analyst,Full-time,Associate,Airlines/Aviation,Information Technology,1,0,0,Correct
Title/Escrow Closer,Full-time,Mid-Senior level,Real Estate,unknown,1,0,0,Correct
English Teacher Abroad ,Contract,unknown,Education Management,unknown,1,0,0,Correct
Urgent Requirement For The Position Technical Lead - Rhomobile Technical Mobility Lead Developer,Contract,Mid-Senior level,Information Technology and Services,Information Technology,0,1,0,Wrong
Personal Assistant (Support Worker) ,unknown,unknown,Hospital & Health Care,unknown,1,0,0,Correct
General Manager,unknown,unknown,Pharmaceuticals,General Business,1,0,0,Correct
Java Architect,Contract,Mid-Senior level,Information Technology and Services,Information Technology,1,0,0,Correct
Customer Service Associate - Part Time ,Full-time,Entry level,Consumer Services,Customer Service,1,0,0,Correct
Sr. Java Developer,unknown,unknown,unknown,unknown,0,0,0,Correct
Front-End Developer/HTML/JavaScript/CSS,Full-time,unknown,Research,unknown,1,0,0,Correct
Software Engineer - Android,Full-time,Associate,Computer Software,Information Technology,1,0,0,Correct
Outside Sales Professional-LaSalle,unknown,unknown,unknown,unknown,1,0,0,Correct
NY | POOL UI @DS+LW,unknown,unknown,unknown,unknown,1,0,0,Correct
Administrative Assistant,Full-time,Entry level,Computer Hardware,Administrative,1,0,0,Correct
"Human Resource Generalist & Benefits Coordinator--Grand Junction, CO",Full-time,Entry level,unknown,unknown,1,0,0,Correct
Accounting Associate - Restaurant Experience,Full-time,Associate,unknown,unknown,1,0,0,Correct
Intake Coordinator,Full-time,unknown,unknown,Administrative,1,0,0,Correct
Marketing Rep Positions (Base Plus Commissions),Full-time,unknown,Marketing and Advertising,Customer Service,1,0,0,Correct
Head of Performance Marketing,unknown,unknown,unknown,Marketing,1,0,0,Correct
Ad Monetisation Expert,Full-time,Mid-Senior level,Internet,Information Technology,1,0,0,Correct
Marketing Assistant - Internship,Full-time,Internship,Internet,Marketing,1,0,0,Correct
Client Account Manager ,Full-time,Mid-Senior level,Management Consulting,General Business,1,0,0,Correct
